nama_bersih,kalori_per_100g,protein_g,lemak_g,karbo_g
kaburan ubi segar,133.0,1.0,0.2,32.2
kabuto,250.0,2.6,2.5,35.4
kacang andong,356.0,20.5,4.1,61.6
kacang arab,330.0,23.8,1.4,60.2
kacang atom,533.0,27.8,38.1,28.8
kacang babi kering,341.0,30.4,3.2,51.3
kacang belimbing (kecipir) kering,400.0,34.4,16.9,34.1
kacang belimbing rebus,204.0,16.9,8.8,17.5
kacang belimbing tempe,212.0,17.5,10.0,12.9
kacang beracun segar,118.0,4.4,1.5,21.6
kacang bogor goreng,479.0,12.7,23.2,58.9
kacang bogor kering,370.0,16.0,6.0,65.0
kacang bogor rebus,161.0,7.7,2.8,27.1
kacang bogor segar,165.0,7.7,3.1,27.4
kacang endel biji,331.0,25.0,1.0,58.0
kacang ercis segar,129.0,12.4,0.7,18.3
kacang galing segar,336.0,23.1,1.7,59.5
kacang goyang,516.0,14.7,31.1,44.4
kacang gude biji,336.0,20.7,1.4,62.0
kacang gude biji kering,316.0,20.7,1.0,58.0
kacang gude biji muda,114.0,7.0,0.6,20.8
kacang gude muda,123.0,8.4,0.6,1.8
kacang gude rebus,147.0,9.0,0.5,27.5
kacang hijau kering,323.0,22.9,1.5,56.8
kacang hijau rebus,109.0,8.7,0.5,18.3
kacang hijau var. bakti kering,350.0,17.1,1.8,70.7
kacang hijau var. siwalik kering,339.0,20.8,2.1,64.6
kacang hitam kering,346.0,16.6,1.7,66.1
kacang ijo,345.0,22.2,1.2,62.9
kacang kapri muda,98.0,6.7,0.4,17.7
kacang kedelai basah,286.0,30.2,15.6,30.1
kacang kedelai goreng,521.0,32.2,37.7,22.9
kacang kedelai kering,381.0,40.4,16.7,24.9
kacang kedelai kukus,75.0,4.1,2.1,10.7
kacang kedelai rebus,189.0,20.2,8.2,12.7
kacang kedelai segar,286.0,30.2,15.6,30.1
kacang komak segar,327.0,16.4,4.3,55.8
kacang kuning kering,355.0,17.0,2.5,66.0
kacang lebui /iris kering,346.0,16.5,1.5,66.6
kacang mekah polong segar,22.0,1.1,1.0,3.4
kacang mentega kering,344.0,16.7,2.1,64.6
kacang merah,336.0,23.1,1.7,59.5
kacang merah /banda kering,350.0,13.9,3.0,66.9
kacang merah kering,314.0,22.1,1.1,56.2
kacang merah kering rebus,158.0,10.3,0.9,28.2
kacang merah segar,171.0,11.0,2.2,28.0
kacang merah segar rebus,144.0,10.0,1.0,24.7
kacang merah tua kering,280.0,16.7,1.6,63.2
kacang mete/biji jambu monyet goreng,629.0,20.4,56.3,19.8
kacang mete/biji jambu monyet segar,616.0,16.3,48.4,28.7
kacang negara,480.0,18.4,19.1,58.5
kacang panjang,44.0,2.7,0.3,7.8
kacang panjang biji,357.0,17.3,1.5,70.0
kacang panjang kukus,39.0,3.0,0.6,7.6
kacang panjang tumis,150.0,2.5,12.5,7.0
kacang ranti polong,37.0,3.1,0.2,7.9
kacang sukro,484.0,8.8,26.1,57.7
kacang tanah atom,535.0,27.8,38.1,28.8
kacang tanah goreng,564.0,25.5,44.4,25.5
kacang tanah kacang sari,561.0,25.5,43.8,26.0
kacang tanah kering,525.0,27.9,42.7,17.4
kacang tanah rebus berkulit,360.0,13.5,31.2,12.8
kacang tanah rempeyek,513.0,17.5,32.5,44.3
kacang tanah sangan berselaput,569.0,28.8,48.4,15.8
kacang tanah sangan tanpa selaput,559.0,26.9,44.2,23.6
kacang tanah sari,561.0,25.5,43.8,26.0
kacang tolo / tunggak kering,331.0,24.4,1.9,56.6
kacang tolo rebus,138.0,10.7,1.1,22.6
kacang tunggak (tolo),342.0,22.9,1.4,61.6
kacang tunggak rebus,138.0,10.7,1.1,22.6
kacang tunggak rempeyek,451.0,11.2,20.2,59.7
kacang tunis kering,351.0,12.2,1.2,72.9
kacang uci kering,358.0,23.4,2.4,60.6
kacang urei kering,354.0,12.8,1.8,69.3
kadada katembe,110.0,4.5,6.9,7.1
kaholeo masakan,413.0,28.7,19.8,29.8
kakap,92.0,20.0,0.7,0.0
kalakai,66.0,2.8,6.8,3.4
kalio jeroan masakan,163.0,16.5,9.0,4.1
kalio kikil (tunjang) masakan,122.0,13.8,5.7,3.9
kalio otak masakan,157.0,8.1,8.8,11.4
kalio telur masakan,193.0,10.6,12.4,9.7
kambing daging segar,149.0,16.6,9.2,0.0
kambose,164.0,3.0,2.4,32.6
kangkung,29.0,3.0,0.3,5.4
kangkung kukus,30.0,3.2,0.7,4.7
kangkung rebus,22.0,2.5,0.6,3.1
kangkung tondano,43.0,1.8,0.2,8.4
kangkung tumis,52.0,1.8,3.6,3.0
kaparende sayur,38.0,2.4,2.0,2.6
kapri muda,42.0,3.3,0.2,9.6
kapurung,41.0,2.0,0.3,7.8
kapusa,158.0,4.4,3.2,27.8
karawila,25.0,2.3,0.2,3.5
karedok sayur,92.0,2.2,3.3,14.1
katak,73.0,16.4,0.3,0.0
katul beras,275.0,12.6,14.8,54.6
katul jagung,356.0,9.0,8.5,64.5
kawista segar,120.0,3.5,2.5,20.8
kecap,46.0,5.7,1.3,9.0
kecimpring singkong goreng,464.0,1.2,18.6,73.0
kecipir biji,405.0,32.8,17.0,36.5
kecipir buah muda,35.0,2.9,0.2,0.8
kecipir muda segar,32.0,2.9,0.2,5.8
kecombrang segar,34.0,0.9,1.0,6.7
keju,326.0,22.8,20.3,13.1
keju kacang tanah,590.0,27.0,49.0,20.9
kelapa hutan kering,623.0,2.0,52.1,36.5
kelapa muda air,17.0,0.2,0.1,3.8
kelapa muda daging,68.0,1.0,0.9,14.0
kelapa setengah tua daging,180.0,4.0,15.0,10.0
kelapa tua daging,359.0,3.4,34.7,14.0
kelewih,111.0,1.5,0.3,27.2
kelinci daging segar,142.0,16.9,7.8,0.0
kemang,48.0,1.0,0.2,11.9
kembang tahu,380.0,48.9,13.8,23.3
kemiri,636.0,19.0,63.0,8.0
kenari,657.0,15.0,66.0,13.0
kenari banda kering,616.0,13.9,56.2,13.7
kentang,83.0,2.0,0.1,19.1
kentang hitam,142.0,0.9,0.4,33.7
keong,64.0,12.0,1.0,2.0
kepala susu (krim),204.0,2.6,20.0,4.0
kepiting,151.0,13.8,3.8,14.1
kerang,59.0,18.0,1.1,3.6
kerang asap mentah,393.0,38.9,13.3,29.4
kerang dendeng mentah,357.0,41.1,10.0,25.6
kerbau daging segar,79.0,18.7,0.5,0.0
keremes,475.0,1.6,25.5,64.4
keribang ubi segar,137.0,1.3,1.1,29.8
keripik bayam,586.0,4.9,40.6,50.2
keripik gadung,446.0,2.8,14.5,76.0
keripik kentang,448.0,2.7,18.8,67.1
keripik lampung,485.0,1.7,22.2,69.7
keripik oncom,598.0,8.3,43.8,42.6
keripik singkong,478.0,0.9,20.7,72.0
keripik singkong berbumbu,481.0,2.2,19.7,73.6
keripik tempe,581.0,12.1,40.6,41.7
keripik tempe abadi murni,542.0,40.3,42.4,11.6
keripik tempe abadi sedang,510.0,12.3,27.9,52.4
keripik tempe abadi telur,529.0,20.8,31.7,40.2
keripik ubi,486.0,0.2,23.9,67.6
kerokot segar,26.0,1.7,0.4,3.8
kerupuk aci,350.0,0.5,0.2,85.9
kerupuk cumi goreng,444.0,6.9,14.6,71.3
kerupuk ikan berpati,342.0,16.0,0.4,65.6
kerupuk kemplang  (ikan) mentah,325.0,1.8,0.4,78.5
kerupuk kemplang goreng,504.0,5.6,28.1,57.1
kerupuk kemplang panggang,356.0,9.7,1.1,76.9
kerupuk kulit kerbau,422.0,83.0,4.0,0.0
kerupuk melinjo mentah,345.0,12.0,1.5,71.5
kerupuk melinjo tebal goreng asin,431.0,11.1,16.2,63.0
kerupuk melinjo tebal goreng manis,439.0,10.0,16.4,65.7
kerupuk melinjo tipis goreng,485.0,11.5,24.5,59.1
kerupuk mie kuning goreng,476.0,0.1,21.1,71.3
kerupuk udang berpati,359.0,17.2,68.2,332.0
kerupuk udang goreng,477.0,4.7,20.5,68.5
kerupuk urat,588.0,53.7,40.9,1.2
kesemek,78.0,0.8,0.4,20.0
ketan hitam matang,181.0,4.0,1.2,37.3
ketan putih matang,163.0,3.0,0.4,35.7
ketela pohon kuning,157.0,0.8,0.3,37.9
ketela singkong segar,154.0,1.0,0.3,36.8
ketela pohon/singkong kukus,153.0,1.2,0.3,36.4
ketimun,12.0,0.7,0.1,2.7
ketimun madura segar,9.0,0.5,0.1,1.9
ketoprak,153.0,7.9,7.7,13.0
ketumbar,404.0,14.1,16.1,54.2
ketupat ketan,212.0,4.0,4.6,38.6
kluwek,310.0,10.0,24.0,13.5
kodok segar,73.0,16.4,0.3,0.0
kokosan,86.0,1.6,0.2,13.0
komak polong segar,99.0,3.3,0.1,21.2
kool kembang,25.0,2.4,0.2,4.9
kool merah kool putih,24.0,1.4,0.2,5.3
kopi bagian yang larut,352.0,17.4,1.3,69.0
kopi bubuk instant,129.0,12.3,0.5,35.0
koro andong kering,356.0,20.5,4.1,61.6
koro benguk biji,332.0,24.0,3.0,55.0
koro benguk tempe,141.0,10.2,1.3,23.2
koro kerupuk biji,125.0,8.3,0.7,22.1
koro loke biji,33.0,2.7,0.2,7.9
koro roway biji,344.0,12.5,2.1,69.4
koro wedus biji,338.0,22.2,1.5,61.0
koro wedus buah muda,38.0,3.0,0.3,7.9
koro wedus polong,46.0,3.0,0.3,7.9
kotiu hinela tawang nggole,46.0,2.2,1.5,6.0
koya,366.0,4.2,4.3,77.5
koya mirasa,370.0,8.0,1.0,82.2
kranji segar,315.0,2.1,1.4,73.5
krokot,21.0,1.7,0.4,3.8
kucai,45.0,2.2,0.3,10.3
kucai muda (lokio),42.0,3.8,0.6,7.8
kuda daging segar,113.0,18.1,4.1,0.9
kue ali,440.0,3.8,18.5,64.5
kue bangket,338.0,1.5,1.2,80.3
kue jahe,425.0,1.6,8.8,84.6
kue kelapa,591.0,5.6,42.1,47.5
kue lumpur,291.0,3.6,11.1,44.1
kue putu cangkir,304.0,5.3,7.0,54.9
kue putu singkong,217.0,1.2,0.5,53.2
kue sus,221.0,7.5,10.2,24.8
kue thipan,247.0,2.9,4.2,49.5
kulit melinjo,111.0,4.5,1.1,20.7
kundur segar,22.0,0.4,0.2,4.7
kunyit,63.0,2.0,2.7,9.1
kura-kura,83.0,19.1,0.2,0.0
kwaci,515.0,30.6,42.1,13.8
kwark (quark),242.0,19.0,17.0,3.0
labu air,17.0,0.6,0.2,3.8
labu kuning segar,51.0,1.7,0.5,10.0
labu siam,26.0,0.6,0.1,6.7
labu waluh segar,32.0,1.1,0.1,6.6
lamtoro (pete cina) biji muda,85.0,5.7,0.3,15.4
lamtoro biji tua,148.0,10.6,0.5,26.2
lamtoro tempe,142.0,11.0,2.5,20.4
lamtoro var. gung tanpa kulit,367.0,46.4,5.4,32.5
lamtoro var. lokal dengan kulit,336.0,23.8,1.2,59.7
langsat,56.0,0.9,0.2,14.3
lantar segar,34.0,2.2,0.3,5.5
lanting getuk,422.0,0.9,10.8,80.4
lapis legit,389.0,6.6,15.7,55.5
lawar babi masakan,174.0,17.0,10.0,3.0
lawar penyu masakan,141.0,23.0,1.5,7.6
lawara jangang masakan,159.0,5.0,10.9,10.1
lawara penjah masakan,207.0,7.4,15.4,9.6
ledre pisang,405.0,4.8,5.1,84.9
lema/ rebung asam,15.0,1.0,0.4,1.9
lemak babi,902.0,0.0,100.0,0.0
lemak babi (bacon),630.0,9.1,65.0,1.1
lemak ikan,372.0,12.0,29.4,14.4
lemak kerbau,818.0,1.5,90.0,0.0
lemon segar,34.0,0.5,0.8,6.2
lemon squasih,36.0,0.0,0.0,10.0
lemonade,30.0,0.0,0.0,8.0
lempog durian,320.0,3.5,5.7,63.7
lepok/ubi rumput,181.0,2.8,1.2,39.8
leunca buah,33.0,1.9,0.1,7.4
leverwost (sosis hati),387.0,16.0,22.0,3.0
lilin bungkus gedi,79.0,2.3,5.2,5.8
lobak,19.0,0.9,0.1,4.2
lokan segar,217.0,11.0,1.7,5.1
lontar segar,27.0,0.4,0.2,6.0
lumai/leunca segar,38.0,1.1,0.3,7.6
lupis ketan,164.0,1.8,2.1,34.5
madu,294.0,0.3,0.0,79.5
maizena tepung,341.0,0.3,0.0,85.0
makaroni,363.0,8.7,0.4,78.7
mangga gedong,44.0,0.7,0.2,11.2
mangga golek,63.0,0.5,0.2,16.7
mangga harum manis,46.0,0.4,0.2,11.9
mangga indramayu,72.0,0.8,0.2,18.7
mangga kopek,56.0,0.4,0.2,14.6
mangga kwini segar,86.0,0.7,0.5,19.8
mangga manalagi segar,133.0,1.0,0.1,32.1
mangga muda,59.0,0.5,0.4,15.1
mangga segar,52.0,0.7,0.0,12.3
manggis,63.0,0.6,0.6,15.6
margarin,720.0,0.6,81.0,0.4
markisa segar,144.0,3.5,1.2,29.8
markisa squash,217.0,2.5,1.0,49.6
markisa squash bd,104.0,1.2,0.5,23.7
martabak  manis,265.3,4.7,5.5,49.3
martabak india,153.0,4.5,4.2,24.3
martabak mesir,278.0,5.1,8.6,45.0
masekat,369.0,2.1,7.0,74.1
matoa segar,90.0,1.2,0.1,21.1
melase,276.0,0.0,0.1,71.0
melon segar,37.0,0.6,0.4,7.8
menjangan daging dendeng mentah,322.0,55.8,2.0,22.7
mentega,725.0,0.5,81.6,1.4
menteng,65.0,1.7,0.2,16.1
merica,359.0,11.5,6.8,64.4
mi basah,88.0,0.6,3.3,14.0
mi golosor,71.0,0.2,0.8,15.9
mi kering,339.0,10.0,1.7,6.3
mie aceh rebus,113.0,3.0,3.2,18.1
mie ayam,102.0,6.2,3.9,10.5
mie bakso,114.0,5.3,3.0,16.4
mie basah,86.0,0.6,3.3,14.0
mie bendo,353.0,0.3,0.0,88.0
mie celon,102.0,3.0,2.1,17.8
mie kering,337.0,7.9,11.8,50.0
mie pangsit basah,105.0,5.9,4.9,9.4
mie sagu,190.0,0.2,0.4,46.5
minyak hati hiu (eulamia),902.0,0.0,100.0,0.0
minyak ikan,902.0,0.0,100.0,0.0
minyak kacang tanah,902.0,0.0,100.0,0.0
minyak kedelai,883.0,0.0,99.9,0.0
minyak kelapa,870.0,1.0,98.0,0.0
minyak kelapa sawit,902.0,0.0,100.0,0.0
minyak wijen,902.0,0.0,100.0,0.0
minyak zaitun,884.0,0.0,100.0,0.0
misoa,345.0,8.5,2.2,78.0
moon tahu,128.0,8.0,10.0,1.3
mostarda metan -sawi,33.0,2.3,0.5,4.7
mujahir acar kuning masakan,330.0,17.8,23.4,12.1
naan maran sapi masakan,478.0,38.3,33.9,5.1
nanas,52.0,0.4,0.2,13.7
nanas palembang segar,58.0,0.7,0.2,13.3
nangka biji,165.0,4.2,0.1,36.7
nangka masak di pohon,106.0,1.2,0.3,27.6
nangka muda,51.0,2.0,0.4,11.3
nasi,180.0,3.0,0.3,39.8
nasi beras merah,149.0,2.8,0.4,32.5
nasi gemuk,192.0,3.8,8.8,24.4
nasi gurih,190.0,4.7,7.5,26.0
nasi jagung,357.0,8.8,0.5,79.5
nasi minyak,207.0,3.5,5.0,37.1
nasi rames,155.0,10.3,4.2,19.1
nasi tim,120.0,2.4,0.4,26.0
nasu likku masakan,196.0,14.5,8.3,15.9
nopia spesial,387.0,5.3,7.6,74.3
olah-olah,9.0,2.1,6.0,7.1
oncom,187.0,13.0,6.0,22.6
oncom ampas kacang hijau,376.0,14.9,6.0,65.7
oncom kacang hijau + singkong,351.0,11.0,5.3,65.9
oncom kacang tanah pepes,132.0,12.7,3.8,13.7
oncom kedele,187.0,13.0,6.0,22.6
oncom pepes,76.0,5.2,1.8,10.6
ongol-ongol sagu,111.0,0.3,2.7,21.2
oramu ninahu ndawa olaho masakan,117.0,13.7,5.0,4.3
otak,125.0,10.4,8.6,0.8
oyek,351.0,0.9,0.9,84.9
oyek (dari singkong),342.0,2.3,0.1,83.1
paku hinela wulelenggapaya,77.0,3.5,4.6,5.4
pala biji,494.0,7.5,36.4,40.1
pala daging,42.0,0.3,0.2,10.9
paniki masak santan masakan,460.0,28.5,35.2,7.2
papeda,61.0,0.2,0.1,14.9
paria (pare),29.0,1.1,0.3,6.6
paria putih kukus,16.0,0.8,0.2,3.4
paria putih segar,19.0,1.0,0.4,3.6
pastel,307.0,4.5,13.3,42.4
pati singkong (tapioka),362.0,0.5,0.3,86.9
pe-cay,23.0,1.8,0.3,4.5
peda ikan banjar,156.0,28.0,4.0,0.0
pelecing kangkung,75.0,2.5,2.8,10.0
pelepah manuk masakan,219.0,19.7,13.6,4.4
pempek adaan,162.0,4.9,3.0,27.8
pempek belida,156.0,4.2,1.4,31.6
pempek kapal selam,152.0,4.5,2.3,28.2
pempek kelesan,211.0,12.3,6.1,26.6
pempek kulit,243.0,5.2,7.3,39.1
pempek tenggiri,173.0,7.2,1.2,33.4
pencok lele masakan,372.0,7.8,36.3,3.5
penyu serapah masakan,174.0,13.1,12.2,2.2
pepare ular segar,19.0,0.6,0.1,3.9
pepaya lodeh,275.0,11.6,11.6,30.2
pepaya muda,26.0,2.1,0.1,4.9
pepaya segar,46.0,0.5,12.0,12.2
pepea oncom ampas tahu,76.0,5.2,1.8,10.6
pete segar,142.0,10.4,2.0,22.0
peterseli,50.0,3.7,1.0,9.0
petis ikan,161.0,20.0,0.2,24.0
petis udang,220.0,15.0,0.1,40.0
petis udang kering,345.0,23.8,1.4,59.3
petis udang pasta,220.0,15.0,0.9,38.0
pinda masakan,107.0,15.9,0.6,0.4
pindang ikan banjar,157.0,28.0,4.2,0.0
pindang ikan benggol,170.0,31.0,4.2,0.0
pindang ikan layang,153.0,30.0,2.8,0.0
pindang ikan selar kecil,142.0,27.0,3.0,0.0
pindang kenari masakan,124.0,9.5,9.6,0.0
pisang ambon,99.0,1.2,0.2,25.8
pisang angleng (pisang ampyang) segar,68.0,1.3,0.2,17.2
pisang ayam segar,120.0,1.1,0.2,26.8
pisang goroho segar,115.0,1.9,0.2,27.9
pisang hijau segar,117.0,2.0,0.3,28.9
pisang kayu segar,100.0,1.4,0.5,23.6
pisang kepok segar,109.0,0.8,0.5,26.3
pisang ketip segar,145.0,1.1,0.3,34.5
pisang lampung,99.0,1.3,0.2,25.6
pisang mas,127.0,1.4,0.2,33.6
pisang mas bali,127.0,1.4,0.2,31.8
pisang oli,134.0,1.1,0.5,35.5
pisang raja,120.0,1.2,0.2,31.8
pisang raja sere (susu),118.0,1.2,0.2,31.1
pisang rotan segar,98.0,1.3,1.2,20.5
pisang siam goreng,625.0,1.0,0.0,8.1
pisang talas segar,113.0,1.2,0.2,26.7
prey (bawang daun),45.0,2.2,0.3,10.3
pucuk lumai/daun leunca segar,33.0,4.5,0.4,2.8
pulut,216.0,2.6,3.1,44.4
punai daging goreng,224.0,26.2,11.3,4.4
pundut nasi,104.0,1.9,4.1,15.1
purundawa,25.0,1.5,0.5,3.6
purut segar,76.0,4.1,1.1,15.2
putri malu segar,76.0,3.6,0.3,14.6
putri selat,163.0,2.2,6.5,23.8
ragi,136.0,43.0,2.4,3.0
rajungan segar,76.0,12.1,2.0,2.4
rambutan,69.0,0.9,0.1,18.1
rambutan aceh,11.0,0.0,0.0,2.7
rambutan binjai segar,76.0,0.5,0.2,18.0
rambutan sinyonya,4.0,0.0,0.0,0.9
rasbi (beras ubi),394.0,2.2,8.8,76.6
rasi (beras singkong),350.0,0.9,0.4,85.7
rawon masakan,60.0,5.4,2.5,4.0
rebon (udang kecil segar),81.0,16.2,1.2,0.7
rebon kering,299.0,29.4,3.6,3.2
rebon udang kecil segar,81.0,16.2,1.2,0.7
rebung,27.0,0.6,0.3,5.2
rebung laut mentah,320.0,7.2,4.2,63.3
rempeyek kacang tolo,451.0,11.2,20.2,59.7
rempeyek kacang uci,497.0,17.0,27.6,50.8
rendang sapi masakan,193.0,22.6,7.9,7.8
renggi goreng,471.0,4.7,21.8,64.1
rimbang segar,75.0,1.6,0.6,15.8
roti boong,341.0,5.5,16.2,43.3
roti putih,248.0,8.0,1.2,50.0
roti warna sawo matang,249.0,7.9,1.5,49.7
rujak cingur,153.0,11.3,8.4,8.0
rumput laut,41.0,1.4,0.3,8.1
rusa daging dendeng mentah,536.0,40.5,41.5,0.0
rusip,110.0,11.5,2.0,11.7
rw anjing masakan,198.0,24.6,10.7,0.9
saga biji tanpa kulit,449.0,30.6,25.5,31.9
sagu aren kering,355.0,0.6,1.1,85.6
sagu aren segar,231.0,0.6,0.2,56.6
sagu forno,291.0,0.5,4.0,63.4
sagu kasbi segar,230.0,0.6,0.2,56.5
sagu lemak (kue sagon),452.0,2.8,14.8,76.8
sagu lempeng,347.0,0.9,0.3,85.2
sagu rendang,364.0,0.1,0.2,90.5
sagu singkong kering,362.0,0.5,0.3,86.9
sagu sinole,354.0,0.8,8.3,68.9
salak bali segar,57.0,0.5,0.1,13.6
salak medan segar,55.0,0.4,0.2,12.8
salak pondoh segar,87.0,0.8,0.4,20.1
sale pisang siam,281.0,2.4,0.7,66.1
santan (dengan air),122.0,2.0,10.0,7.6
santan (kelapa saja),324.0,4.2,34.3,55.6
santan murni,324.0,4.2,34.3,5.6
saos tomat,98.0,2.0,0.4,24.5
sapi abon,212.0,18.0,10.6,59.3
sapi babat segar,108.0,17.6,4.2,0.0
sapi daging asap,182.0,32.0,6.0,0.0
sapi daging dendeng mentah,301.0,55.0,9.0,0.0
sapi daging gemuk segar,273.0,17.5,22.0,0.0
sapi daging kornet,289.0,16.0,25.0,0.0
sapi daging kurus segar,174.0,19.6,10.0,0.0
sapi daging lemak sedang segar,201.0,18.8,14.0,0.0
sapi daging sosis (worst),448.0,14.5,42.3,2.3
sapi daleman segar,183.0,12.0,14.4,1.4
sapi dideh/darah,98.0,21.9,1.1,0.0
sapi ginjal segar,137.0,15.0,8.1,0.9
sapi hati sosis (liverworst),274.0,16.0,22.0,3.0
sapi keleponan segar,84.0,10.5,4.6,0.2
sapi liver segar,132.0,19.7,3.2,6.0
sapi otak segar,123.0,10.4,8.6,0.8
sapi paru dendeng mentah,360.0,57.3,6.0,19.2
sapi paru goreng,268.0,23.9,12.7,14.5
sapi usus segar,126.0,14.0,7.2,1.5
sarang burung,281.0,37.5,0.3,32.1
sardines dalam kaleng,338.0,21.1,27.0,1.0
sari kedelai bubuk,344.0,30.0,20.0,43.0
sate bandeng,283.0,12.1,16.8,20.9
sate penyu masakan,179.0,22.5,3.5,13.3
sate pusut masakan,274.0,12.9,18.6,13.6
sawi,22.0,2.3,0.3,4.0
sawi putih / pecai segar,9.0,1.0,0.1,1.7
sawi taiwan segar,30.0,1.9,0.5,4.4
sawi tanah segar,19.0,1.3,0.2,2.9
sawo,92.0,0.5,1.1,22.4
sawo duren segar,64.0,1.0,3.1,8.0
sawo kecik segar,111.0,0.9,2.3,21.6
sawo manila segar,92.0,0.5,1.1,22.4
sayur asem,29.0,0.7,0.6,5.0
sayur bunga pepaya,49.0,1.7,0.3,9.8
sayur garu,178.0,2.6,13.9,10.6
sayur kohu-kohu,133.0,7.3,6.6,11.2
sayur lebui,64.0,2.1,0.6,12.5
sayur lilin-terubuk,36.0,2.7,0.7,4.8
sayur ndusuk,49.0,3.1,2.5,3.6
sayur sop,27.0,1.3,2.0,1.0
sayur umbut kelapa,67.0,5.2,2.9,5.1
sayur umbut rotan,57.0,5.4,2.6,3.1
selada,15.0,1.2,0.2,2.9
selada air,17.0,1.7,0.3,3.0
seledri,20.0,1.0,0.1,4.6
semangka,28.0,0.5,0.2,6.9
sente,64.0,0.6,0.3,14.8
sente talas segar,353.0,0.7,0.2,84.7
sepi masakan,88.0,7.9,1.6,10.6
serbuk coklat,298.0,8.0,23.8,48.9
serimping talas kebumen,478.0,2.5,21.2,69.2
setrup sirup,213.0,0.0,0.0,55.0
shabu-shabu,88.0,3.2,8.0,0.8
sie reuboh masakan,474.0,11.2,42.5,11.7
singkong kukus,146.0,1.2,0.3,34.7
singkong tape,173.0,0.5,0.1,42.5
sirsak,65.0,1.0,0.3,16.3
sirup,213.0,0.0,0.0,55.0
sop buntut masakan,71.0,7.5,3.6,2.2
sop daging sapi masakan,49.0,5.8,0.5,5.3
sop kaki sapi masakan,68.0,9.0,1.9,3.7
sop kambing masakan,34.0,5.5,0.8,1.1
sop konro masakan,71.0,7.4,2.6,4.5
sop kool,12.0,0.5,0.1,2.0
sop kool dan wortel,15.0,0.6,0.1,3.1
sop saudara masakan,89.0,7.2,5.0,3.9
soto bandung masakan,42.0,3.9,1.7,2.8
soto banjar masakan,110.0,2.9,9.5,3.2
soto betawi masakan,135.0,2.5,8.8,11.5
soto dengan daging,127.5,2.6,9.4,8.3
soto jeroan masakan,92.0,11.8,4.3,1.4
soto kudus masakan,38.0,2.6,2.3,1.8
soto padang masakan,127.0,5.9,6.6,11.0
soto pekalongan masakan,94.0,3.0,6.8,5.1
soto pemalang masakan,75.0,3.6,5.2,3.5
soto sukaraja masakan,80.0,3.2,3.5,9.0
soto sulung masakan,86.0,2.3,8.5,0.0
spaghetti,139.0,7.4,2.1,22.6
srikaya,101.0,1.7,0.6,35.2
sukiyaki masakan,75.0,5.6,0.4,12.2
sukun muda segar,119.0,1.4,0.2,28.1
sukun tua segar,126.0,1.6,0.2,24.5
susu bubuk,513.0,24.6,30.0,36.2
susu kambing,64.0,4.3,2.3,6.6
susu kedelai,41.0,3.5,2.5,5.0
susu kental manis,336.0,8.2,10.0,55.0
susu kental tak manis,138.0,7.0,7.9,9.9
susu kerbau,160.0,6.3,12.0,7.1
susu sapi,61.0,3.2,3.5,4.3
susu skim (tak berlemak),36.0,3.5,0.1,5.1
susu skim bubuk,359.0,35.6,1.0,52.0
susu skim segar,36.0,3.5,0.1,5.1
susupan,87.0,5.3,5.2,6.3
suweg kukus,90.0,1.5,0.1,21.9
suweg mentah,69.0,1.0,0.1,15.7
suweg talas segar,74.0,1.4,0.1,17.2
suwir-suwir,347.0,0.5,0.9,84.2
tahu,68.0,7.8,4.6,1.6
tahu goreng,115.0,9.7,8.5,2.5
tahu telur,328.0,12.6,19.9,24.6
takwa,148.0,13.8,8.5,4.0
talas bogor kukus,120.0,1.5,0.3,28.2
talas pontianak segar,163.0,2.3,0.5,36.4
talas viqueque segar,115.0,1.8,0.5,25.9
tales kukus,120.0,1.5,0.3,28.2
tales mentah,98.0,1.9,0.2,23.7
taoco,166.0,10.4,4.9,24.1
taoge goreng,88.0,3.2,2.1,14.0
taoge kacang kedelai segar,76.0,9.0,2.6,6.4
taoge seduh,28.0,3.0,0.8,4.0
taoge segar,34.0,3.7,1.2,4.3
taokoa,104.0,12.9,6.8,1.2
tapai beras,99.0,1.7,0.3,22.4
tapai ketan hitam,166.0,3.8,1.0,34.4
tapai ketan putih,172.0,3.0,0.5,37.5
tapai singkong,169.0,1.4,0.3,40.2
tauco cap das cake,358.0,7.5,4.3,70.4
tauji cap singa,277.0,9.1,4.7,49.6
tebu terubuk,25.0,4.6,0.4,3.0
tedong pallu basa masakan,83.0,10.4,3.4,2.8
teh,132.0,19.5,0.7,67.8
teh hijau daun kering,300.0,28.3,4.8,53.6
teh melati daun kering,299.0,24.1,3.5,59.0
tekokak,34.0,2.0,0.1,7.9
tekokak kering,294.0,8.3,1.7,72.6
tekwan,53.0,1.9,0.9,9.4
telur ayam,162.0,12.8,11.5,0.7
telur ayam bagian kuning,361.0,19.3,31.9,0.7
telur ayam bagian putih,50.0,10.8,0.0,0.8
telur ayam ceplok,383.0,15.1,32.9,8.3
telur ayam dadar,251.0,16.3,19.4,1.4
telur bebek bagian kuning segar,386.0,17.0,35.0,0.8
telur bebek bagian putih,54.0,11.0,0.0,0.8
telur bebek bagian putih segar,54.0,11.0,0.0,0.8
telur bebek ceplok,320.0,15.1,30.5,0.9
telur bebek dadar,301.0,20.0,23.7,0.0
telur bebek tambak segar,187.0,10.9,12.4,7.9
telur bebek telur asin,195.0,13.6,13.6,1.4
telur burung puyuh segar,116.0,10.7,7.0,1.6
