nama_bersih,kalori_per_100g,protein_g,lemak_g,karbo_g
beras setengah giling,363.0,7.6,1.1,78.3
beras siger,344.0,1.1,0.2,28.3
beras tumbuk mentah,354.0,7.8,0.4,79.9
beras tumbuk merah mentah,352.0,7.3,0.9,76.2
betok wadi masakan,145.0,16.3,7.0,4.1
bihun,360.0,4.7,0.1,82.1
bihun goreng instan,381.0,6.1,3.9,80.3
bihun jagung mentah,354.0,0.5,0.3,87.4
bihun mentah,348.0,4.7,0.1,82.1
biji jambu mete,562.0,21.2,49.6,23.6
biji jambu mete goreng,629.0,21.5,56.6,19.8
biji nangka/biji salak,262.0,2.3,5.4,51.1
bika ambon,199.0,2.1,1.5,44.4
bir (4% alkohol),48.0,0.6,0.0,4.4
biskuit,458.0,6.9,14.4,75.1
bit,42.0,1.6,0.1,9.6
biwah segar,51.0,0.3,0.1,12.1
bonggol pisang,43.0,2.6,0.0,11.6
bonggol pisang kering,245.0,3.4,0.0,66.2
bongkrek (tempe bungkil),119.0,4.4,3.5,18.3
boros kunci,23.0,1.0,0.8,7.2
boros laja (lengkuas),22.0,1.0,0.3,4.7
botok lamtoro,186.0,11.7,9.7,13.0
brem,249.0,3.4,0.4,58.0
brongkos,141.0,15.3,3.3,12.6
buah atung,23.0,0.8,0.2,5.2
buah kelenting segar,110.0,1.4,2.1,21.4
buah kelor,38.0,1.5,0.2,7.5
buah kom segar,264.0,4.0,1.1,59.6
buah mentega (bisbul),39.0,0.7,0.2,9.7
buah merah,87.0,2.6,2.7,13.1
buah naga merah segar,71.0,1.7,3.1,9.1
buah naga putih segar,56.0,0.8,1.0,10.9
buah negri segar,55.0,1.2,0.1,12.2
buah nona,101.0,1.7,0.6,25.2
buah rotan segar,78.0,0.6,0.3,18.2
buah rukam segar,113.0,0.8,0.3,26.8
buah ruruhi segar,29.0,2.1,0.7,3.6
buah tuppa segar,67.0,0.4,0.2,15.9
buaya daging dendeng mentah,365.0,49.6,4.8,30.8
bubur sagu,167.0,0.2,4.0,33.0
bubur tinotuan (manado),156.0,2.3,0.2,15.6
bulgogi masakan,72.0,11.4,4.9,1.4
bulung jajan,212.0,16.9,0.2,47.6
bulung sangu,237.0,14.7,0.2,56.0
buncis,35.0,2.4,0.2,7.7
buncis asam,60.0,5.1,0.5,8.5
buncis rebus,30.0,2.2,0.2,6.4
bunga pepaya segar,45.0,2.6,0.3,8.1
bunga turi segar,42.0,2.0,1.1,6.1
bungkil biji karet,333.0,29.3,3.3,50.0
bungkil kacang tanah,336.0,37.4,13.0,30.5
bungkil kelapa,368.0,23.0,15.0,40.0
buntil daun talas,141.0,4.4,10.2,8.0
burung sarang segar,281.0,37.5,0.3,32.1
cabai gembor merah segar,38.0,1.6,0.8,6.3
cabai hijau segar,26.0,0.7,0.3,5.2
cabai merah kering,367.0,15.9,6.2,61.8
cabai merah segar,36.0,1.0,0.3,7.3
cabai rawit segar,120.0,4.7,2.4,19.9
caisin segar,20.0,1.7,0.4,3.4
cakalang asar (asap papua),155.0,20.1,3.8,10.2
cake tape,323.0,4.9,11.5,50.1
cammetutu,102.0,3.2,6.0,8.7
cantel mentah,366.0,11.0,3.3,73.0
cap cai sayur,97.0,5.8,6.3,4.2
carica papaya segar,24.0,1.9,0.2,3.7
cassavastick,460.0,0.8,18.7,17.2
cempedak,116.0,3.0,0.4,28.6
cengkeh kering,330.0,5.2,8.9,57.4
centel,332.0,11.0,3.3,73.0
ceriping getuk singkong,462.0,1.2,20.7,67.7
chicken teriyaki masakan,168.0,13.0,9.6,7.5
chikiniku masakan,143.0,9.8,1.4,22.8
coklat bubuk,311.0,8.0,4.0,48.9
coklat manis batang,472.0,2.0,29.8,62.7
coklat pahit batang,504.0,5.5,52.9,29.2
coklat susu batang,381.0,9.0,35.0,53.6
corned beef,241.0,16.0,25.0,0.0
coto mangkasara kuda masakan,96.0,6.8,5.9,3.8
coto mangkasara sapi masakan,84.0,6.0,6.0,1.4
cue selar kuning,145.0,27.0,2.3,0.0
cuka,12.0,0.1,0.1,5.0
cumi-cumi goreng,265.0,40.6,10.1,0.0
cumi-cumi segar,75.0,16.1,0.7,0.1
daging anak sapi,190.0,19.1,12.0,0.0
daging asap,191.0,32.0,6.0,0.0
daging babi gemuk,457.0,11.6,45.0,0.0
daging babi kurus,376.0,14.1,35.0,0.0
daging domba,206.0,17.1,14.8,0.0
daging kambing,154.0,16.6,9.2,0.0
daging kerbau,84.0,18.7,0.5,0.0
daging kuda,118.0,18.1,4.1,0.9
daging sapi,207.0,18.8,14.0,0.0
daun bangun-bangun segar,27.0,1.3,0.6,4.0
daun bawang,29.0,1.8,0.7,5.2
daun bawang  merah segar,41.0,2.0,0.3,7.8
daun bebuas segar,41.0,2.7,1.0,7.3
daun belem segar,50.0,4.4,1.4,7.8
daun beluntas,42.0,1.8,0.5,9.4
daun cincau,122.0,6.0,1.0,26.0
daun gandaria,60.0,3.1,0.3,14.0
daun gedi besar segar,58.0,2.9,0.7,10.0
daun gelang segar,30.0,1.3,0.7,5.8
daun gunda bali segar,50.0,4.6,0.9,7.0
daun gunda serang segar,62.0,4.2,0.9,9.2
daun jambu mete muda,73.0,4.6,0.5,16.2
daun jampang segar,34.0,3.8,0.5,5.3
daun jawaw seluang segar,93.0,5.0,1.3,15.3
daun jonghe segar,27.0,2.1,0.7,4.4
daun kacang ma segar,36.0,2.9,0.6,6.8
daun kacang panjang,34.0,4.1,0.4,5.8
daun kacang panjang kukus,40.0,3.7,0.3,8.0
daun kacang panjang segar,30.0,3.1,0.3,5.8
daun kasbi/singkong karet segar,92.0,4.0,3.6,10.9
daun katuk,59.0,4.8,1.0,11.0
daun katuk rebus,53.0,5.3,0.9,9.1
daun katuk segar,59.0,6.4,1.0,9.9
daun kecipir,47.0,5.0,0.5,8.5
daun kedondong,59.0,2.8,0.3,13.4
daun kelor,82.0,6.7,1.7,14.3
daun kelor rebus,61.0,6.1,0.9,10.0
daun kemangi,46.0,4.0,0.5,8.9
daun kenikir segar,45.0,3.7,0.5,6.6
daun kesum segar,48.0,4.5,0.8,9.1
daun kol sawi segar,22.0,2.1,0.5,3.6
daun koro,23.0,3.0,0.3,3.7
daun kubis segar,51.0,2.5,1.1,8.0
daun kumak,14.0,1.3,0.3,2.3
daun labu siam,60.0,4.0,0.4,4.7
daun labu waluh,30.0,3.6,0.6,4.5
daun lamtoro segar,87.0,8.3,1.8,14.4
daun leilem segar,76.0,2.8,0.2,15.8
daun leunca,45.0,4.7,0.5,8.1
daun lobak,30.0,2.3,0.4,5.8
daun lompong tales,40.0,3.0,0.8,7.4
daun mangkokan,54.0,3.7,0.3,11.8
daun matel ambon segar,71.0,6.8,1.6,11.5
daun melinjo,99.0,5.0,1.3,21.3
daun mengkudu kukus,63.0,3.8,1.5,11.5
daun ndusuk segar,166.0,1.7,0.5,38.8
daun oyong,22.0,1.0,0.1,5.3
daun oyong segar,22.0,1.0,0.1,5.3
daun pakis,35.0,4.0,0.3,6.4
daun pakis longgiho segar,54.0,2.2,3.6,3.1
daun pakis segar,39.0,4.5,0.4,6.9
daun pakis wambateu segar,53.0,3.4,1.2,7.2
daun paku segar,29.0,3.4,0.1,6.5
daun pangisegar,104.0,3.9,0.6,17.9
daun pare segar,49.0,2.7,1.0,8.4
daun pepaya segar,87.0,8.0,2.0,11.9
daun pete cina,128.0,12.0,6.5,12.4
daun poh-pohan,37.0,2.5,0.8,6.9
daun salam  bubuk,301.0,14.2,10.9,49.0
daun selasih segar,62.0,4.0,0.5,10.5
daun semanggi,45.0,4.4,8.0,0.5
daun semanggi segar,45.0,4.4,0.5,8.5
daun simpur segar,53.0,3.2,2.5,7.6
daun singkil segar,68.0,2.0,1.0,15.2
daun singkong,73.0,6.8,1.2,13.0
daun singkong ambon segar,144.0,12.7,1.2,25.2
daun singkong ampenan segar,50.0,6.2,1.1,7.1
daun singkong kopang segar,74.0,6.3,0.7,10.7
daun singkong lodeh,55.0,4.0,0.5,8.5
daun singkong rebus,31.0,3.7,0.6,4.8
daun singkong segar,50.0,6.2,1.1,7.1
daun sintrong,36.0,2.6,0.9,6.1
daun talas rebus,27.0,1.3,0.2,5.9
daun talas segar,59.0,3.0,0.4,13.5
daun tales,71.0,4.1,2.1,12.3
daun tales rebus,27.0,1.3,0.2,5.9
daun tespong segar,70.0,2.9,0.3,13.9
daun ubi jalar,47.0,2.8,0.4,10.4
daun ubi jalar kukus,56.0,3.1,0.3,13.0
daun ubi kuning segar,62.0,3.7,0.3,11.1
daun ubi merah kukus,56.0,3.1,0.3,13.0
daun ubi merah segar,48.0,3.0,0.3,10.8
daun ubi putih segar,46.0,2.8,0.2,8.2
dendeng belut goreng,382.0,55.7,14.1,8.0
dendeng daging sapi,433.0,55.0,9.0,0.0
dendeng mujahir goreng,598.0,74.3,26.9,9.2
dideh darah ayam,77.0,13.8,1.9,0.7
dideh darah sapi,104.0,21.9,1.1,0.0
djibokum masakan,248.0,10.0,2.3,40.9
dodol,395.0,3.0,5.7,81.2
dodol bali,298.0,3.7,2.1,65.9
dodol banjarmasin,368.0,2.6,8.6,70.0
dodol galamai,348.0,0.4,3.8,76.1
dodol kedondong,331.0,1.9,7.6,63.8
dodol manado,373.0,4.3,16.5,51.9
domba daging gemuk segar,317.0,15.7,27.7,0.0
domba daging kurus  segar,202.0,17.1,14.8,0.0
domba ginjal segar,100.0,16.6,3.3,1.0
duku,63.0,1.0,0.2,16.1
durian,134.0,2.5,3.0,28.0
duwet segar,80.0,0.5,0.6,18.2
eceng gondok,18.0,1.0,0.2,3.8
embacang,98.0,1.4,0.2,25.4
empal (daging) goreng masakan,248.0,36.2,6.9,10.1
empal goreng,590.0,18.5,57.0,0.0
emping (kerupuk melinjo),345.0,12.0,1.5,71.5
emping beras,403.0,10.6,2.2,85.3
emping komak,355.0,17.8,4.6,60.7
encung asam segar,122.0,3.5,4.5,17.5
enting-enting gepuk hello kity,538.0,13.6,30.3,52.6
enting-enting gepuk kacang tanah,524.0,13.3,29.2,52.0
enting-enting wijen,565.0,18.2,38.4,36.8
erbis,70.0,0.6,0.0,18.9
