Title,Ingredients,Steps,Loves,URL,Category,Title Cleaned,Total Ingredients,Ingredients Cleaned,Total Steps,judul_bersih,bahan_bersih,Quality Score
Ikan Kembung Balado,1 kg ikan kembung--5 cabe merah--5 cabe rawit orange--6 bawang merah--4 bawang putih--Lengkuas--2 sdt garam--1/2 sdt gula pasir--1 sdt lada bubuk--secukupnya Air--1 1/2 Jeruk nipis--1/2 tomat merah--,"1) Bersihkan ikan, lalu lumuri dengan 1 jeruk nipis dan garam secukupnya, diamkan 1/2 jam, lalu goreng kering.
2) Haluskan cabai, bawang merah, bawang putih, dan tomat (jangan terlalu halus).
3) Geprek lengkuas
4) Panaskan minya di penggorengan, lalu tumis bahan bahan yg telah dihaluskan, masukkan garam, gula, dan lengkuas. Tambahkan air sedikit saja.
5) Masakan siap dihidangkan.",32,https://cookpad.com/id/resep/4230251-ikan-kembung-balado,ikan,ikan kembung balado,12,"ikan kembung , cabe merah , cabe rawit orange , bawang merah , bawang putih , lengkuas , garam , gula pasir , lada , air , jeruk nipis , tomat merah",5,ikan kembung balado,1 kg ikan kembung 5 cabe merah 5 cabe rawit orange 6 bawang merah 4 bawang putih lengkuas 2 sdt garam 1 2 sdt gula pasir 1 sdt lada bubuk secukupnya air 1 1 2 jeruk nipis 1 2 tomat merah,0.31
Tumis Pokcoy Daging Sapi,"2 bonggol Sayur Pokcoy, potong2--50 gram Daging sapi, iris tipis--2 siung Bawang putih, cincang halus--2 buah Cabe rawit merah, iris--1 sdm Saus tiram--secukupnya Garam, merica dan kaldu bubuk--","1) Tumis bawang putih dan cabe rawit sampai harum.
2) Masukkan daging sapi, masak sampai berubah warna.
3) Masukkan saus tiram, garam, merica dan kaldu bubuk secukupnya. Tambahkan sedikit air. Masak sampai daging empuk.
4) Masukkan terlebih dulu bagian pokcoy yg keras, baru bagian lainnya. Tes rasa. Masak sebentar. Angkat.
5) Masakan dah jadi. Bikinnya gampang bgt kan. It's so yummi and simple.",32,https://cookpad.com/id/resep/4038734-tumis-pokcoy-daging-sapi,sapi,tumis pokcoy daging sapi,6,"bonggol sayur pokcoy , potong , daging sapi , tipis , bawang putih , cincang halus , cabe rawit merah , saus tiram , garam , merica kaldu bubuk",5,tumis pokcoy daging sapi,"2 bonggol sayur pokcoy, potong2 50 gram daging sapi, iris tipis 2 siung bawang putih, cincang halus 2 buah cabe rawit merah, iris 1 sdm saus tiram secukupnya garam, merica dan kaldu bubuk",0.3119
Balado Lele Goreng,"1/2 kg Ikan lele segar, cuci bersih--secukupnya Minyak goreng--1 sdt kaldu bubuk--secukupnya Garam--secukupnya Air--Bumbu halus :--25 buah cabe merah keriting--4 siung bawang merah--2 siung bawang putih--1/2 buah tomat merah--","1) Panaskan minyak goreng secukupnya.. Lalu goreng ikan lele hingga matang kecoklatan di kedua sisinya.. Angkat dan tiriskan
2) Panaskan kembali 5 sdm minyak goreng, lalu tumis bumbu halus hingga harum
3) Setelah itu, tambahkan air, kaldu bubuk, dan garam.. Aduk rata dan masak hingga bumbu matang dan air mengering
4) Cek rasa, jika sudah pas.. Masukan ikan lele goreng, lalu aduk perlahan hingga semua bagian ikan tertutup sambal.. Angkat dan sajikan hangat",32,https://cookpad.com/id/resep/4309979-balado-lele-goreng,ikan,balado lele goreng,10,"ikan lele segar , minyak goreng , kaldu bubuk , garam , air , bumbu halus , cabe merah keriting , bawang merah , bawang putih , tomat merah",4,balado lele goreng,"1 2 kg ikan lele segar, cuci bersih secukupnya minyak goreng 1 sdt kaldu bubuk secukupnya garam secukupnya air bumbu halus 25 buah cabe merah keriting 4 siung bawang merah 2 siung bawang putih 1 2 buah tomat merah",0.2999
Syurbah (bubur Arab),2 gelas belimbing beras bersih--1 gelas gandum instan (saya pakai queker out biru)--sesuai selera daging kambing /sapi/ayam--1 buah tomat--1 batang serai--2 ruas kunyit--1 ruas jahe--10 butir bawang merah--5 butir bawang putih--2 buah bawang Bombay yg kecil--2 lembar daun salam--3 lembar daun jeruk--secukupnya garam gula lada di kira2 aja--10 butir kapolaga  di tumbuk--Secukupnya garam masalah (bumbu khas timur tengah)--,"1) Bumbu halus : bawang merah putih Bombay jahe kunyit
2) Potong daging sesuai selera Klo saya dadu kecil2 lebih enak Klo di suwir2 c karena saya buru2 jd di potong2
3) Tumis bumbu halus lalu masukan daun salam jeruk serai & kapolaga tumis hingga harum berubah warna
4) Masukan daging ke tumisan bumbu halus
5) Siapkan air masak sekitar 5 liter biarkan hingga mendidih lalu masukan daging serta bumbu yg di tumis td tunggu hingga daging empuk
6) Setelah daging empuk masukan beras yg sudah di cuci masak hingga menjadi bubur
7) Setelah beras menjadi bubur masukan gandum instan Tunggu hingga 10-15 menit agar beras & gandum menyatu sambil terus di aduk yaa jgn sampe gosong bawahnya setelah itu angkat sajikan
8) Santap syurbah selagi hangat,bila suka boleh di temani dengan kerupuk & bawang goreng
9) Happy cooking",32,https://cookpad.com/id/resep/3289606-syurbah-bubur-arab,kambing,syurbah ( bubur arab ),15,"belimbing beras , gandum instan queker out biru , daging kambing sapi ayam , tomat , serai , kunyit , jahe , bawang merah , bawang putih , bawang bombai , daun salam , daun jeruk , garam gula lada , kapolaga tumbuk , garam bumbu khas timur",9,syurbah bubur arab,2 gelas belimbing beras bersih 1 gelas gandum instan saya pakai queker out biru sesuai selera daging kambing sapi ayam 1 buah tomat 1 batang serai 2 ruas kunyit 1 ruas jahe 10 butir bawang merah 5 butir bawang putih 2 buah bawang bombay yg kecil 2 lembar daun salam 3 lembar daun jeruk secukupnya garam gula lada di kira2 aja 10 butir kapolaga di tumbuk secukupnya garam masalah bumbu khas timur tengah,0.4041
Krengsengan Daging Sapi,"500 gram daging sapi, potong kotak2, remas dengan daun pepaya, kemudian cuci bersih--1 buah bawang bombay--8 siung bawang merah--5 siung bawang putih--3 buah cabai merah--2 buah cabai hijau--3 sdm kecap manis--Garam--Asam Jawa--Merica--Micin--Minyak untuk menumis--secukupnya Air--","1) Rebus daging sapi hingga empuk, kemudian angkat dan lumuri dengan asam jawa, garam dan micin. Diamkan sekitar 10 menit.
2) Tumis trio bawang sampai harum
3) Masukkan daging sapi, aduk, tambahkan air.
4) Masukkan r*yco sapi, kecap manis, dan merica. Aduk.
5) Masak hingga air menyusut
6) Masukkan cabe merah dan ijo yg sdh diiris2 tipis. Koreksi rasa.
7) Angkat dan sajikan.",32,https://cookpad.com/id/resep/3146799-krengsengan-daging-sapi,sapi,krengsengan daging sapi,13,"daging sapi , potong kotak , remas daun pepaya , bawang bombai , bawang merah , bawang putih , cabai merah , cabai hijau , kecap manis , garam , asam jawa , merica , micin , minyak menumis , air",8,krengsengan daging sapi,"500 gram daging sapi, potong kotak2, remas dengan daun pepaya, kemudian cuci bersih 1 buah bawang bombay 8 siung bawang merah 5 siung bawang putih 3 buah cabai merah 2 buah cabai hijau 3 sdm kecap manis garam asam jawa merica micin minyak untuk menumis secukupnya air",0.3552
Baso goreng ayam udang,"250 grm ayam giling--150 udang kupas cincang kecil--250 gram sagu tani, tuang sedikit sedikit--2 butir telor ayam--Bumbu dihaluskan:--2 butir bawang putih--2 butir bawang merah--secukupnya Lada--1 sdm Garam--1 sdm Gula pasir--1 sdm kecap asin--sesuai selera Penyedap rasa--","1) Campur semua bahan, telor kocok lepas dulu, setelah tercampur rata masukan sagu
2) Telor Kedua masukan setelah di kocok lepas, sagu dicampur perlahan. Adonan agak lembek dan bisa di bentuk
3) Panaskan minyak setelah Panas kecilkan api. Bulatkan adonan dan masukan kedalam minyak
4) Masak dengan api kecil sesekali dibolak balik, masak sampai kekuningan
5) Angkat tiriskan dan siap disantap",32,https://cookpad.com/id/resep/3860966-baso-goreng-ayam-udang,udang,baso goreng ayam udang,12,"ayam giling , udang kupas cincang , sagu tani , tuang , telor ayam , bumbu dihaluskan , bawang putih , bawang merah , lada , garam , gula pasir , kecap asin , penyedap",5,baso goreng ayam udang,"250 grm ayam giling 150 udang kupas cincang kecil 250 gram sagu tani, tuang sedikit sedikit 2 butir telor ayam bumbu dihaluskan 2 butir bawang putih 2 butir bawang merah secukupnya lada 1 sdm garam 1 sdm gula pasir 1 sdm kecap asin sesuai selera penyedap rasa",0.3112
Tempe goreng telur (PR_recookmasakanawalanT),1 papan tempe--1 telor ayam besar--2 sdm trigu--Lada bubuk;garam;kaldu jamur--1 batang daun bawang iris2--,"1) Kukus tempe sd matang dan iris2 bentuk stik panjang
2) Kocok lepas telur dan beri bumbu2 serta daun bawang adik rata dan beri trigu.aduk asal aja
3) Celup tempe ke adonan telur lalu goreng dg api kecil sd matang keemasan",32,https://cookpad.com/id/resep/3934727-tempe-goreng-telur-pr_recookmasakanawalant,telur,tempe goreng telur ( pr_recookmasakanawalant ),5,"papan tempe , telor ayam , trigu , lada garam kaldu jamur , batang daun bawang",3,tempe goreng telur pr_recookmasakanawalant,1 papan tempe 1 telor ayam besar 2 sdm trigu lada bubuk garam kaldu jamur 1 batang daun bawang iris2,0.2493
Sate goreng kambing #kitaberbagi,"1/4 kg daging kambing, potong kecil-kecil--bumbu halus:--2 siung bawang putih--2 siung bawang merah--1 ruas jahe--1 butir kemiri--secukupnya ketumbar--sesuai selera cabe rawit--kecap manis--secukupnya lada bubuk--secukupnya garam--secukupnya air--minyak utk menumis--","1) Tumis bumbu halus sampai harum, masukkan daging kambing, tambahkan kecap, lada dan garam
2) Setelah bumbu tercampur rata dg daging masukkan sedikit air, tutup wajan sampai air habis, daging empuk dan ada karamelnya
3) Matikan api, sajikan dg irisan tomat dan bawang merah",32,https://cookpad.com/id/resep/3275534-sate-goreng-kambing-kitaberbagi,kambing,sate goreng kambing,13,"daging kambing , potong , bumbu halus , bawang putih , bawang merah , jahe , kemiri , ketumbar , cabe rawit , kecap manis , lada , garam , air , minyak utk menumis",3,sate goreng kambing kitaberbagi,"1 4 kg daging kambing, potong kecil kecil bumbu halus 2 siung bawang putih 2 siung bawang merah 1 ruas jahe 1 butir kemiri secukupnya ketumbar sesuai selera cabe rawit kecap manis secukupnya lada bubuk secukupnya garam secukupnya air minyak utk menumis",0.2419
Gulai /Gule Kambing (Tengkleng) Ala Semarang,"500 gr daging kambing (saya pakai tengkleng secukupnya hehe)--200 ml santan kental (saya pakai sun kara 75ml+air secukupnya)--sesuai selera garam, gula, kaldu bubuk, merica bubuk, pala bubuk-->> Bumbu halus:--5 siung bawang merah--4 siung bawang putih--6 butir kemiri sangrai (kalau saya digoreng)--1 sdt jinten--2 cm kunyit (saya bakar dulu kemudian dicuci & dikupas kulitnya)--1 cm jahe (dikupas)--2 cm lengkuas (dikupas)--1 sdt ketumbar bubuk-->> Bumbu cemplung:--1 batang kayu manis (1/2 sdt bubuk kayu manis)--2 butir cengkeh--4 lembar daun jeruk purut--3 lembar daun salam--2 batang serai/sereh digeprek--secukupnya cabe rawit merah utuh--","1) Siapkan bumbu halus dan tambahkan sedikit air kemudian blender bumbu hingga halus
2) Setelah bumbu diblender hingga halus
3) Masukkan dalam wajan dan beri sedikit minyak goreng, kemudian masak dengan api sedang atau kecil hingga matang
4) Jangan lupa aduk2 terus bumbunya agar tidak gosong bagian bawahnya. Setelah matang bentuknya seperti pada gambar. Dinginkan dan bisa disimpan dalam toples kedap udara jika ingin masak lain waktu
5) Bumbu bisa diambil secukupnya sesuai kebutuhan
6) Berikut bumbu cemplung, cabe bisa dipotong atau utuh sesuai selera yaa..
7) Tumis bumbu dengan sedikit minyak
8) Masukkan santan instan dan bumbu cemplung, aduk rata
9) Beri air sesuai kebutuhan, masukkan tengklengnya dan masak hingga mendidih. Jangan lupa diaduk terus agar santan tidak pecah. Tambahkan bubuk kaldu, garam, gula, merica bubuk dan pala bubuk secukupnya. Jangan lupa koreksi rasanya
10) Setelah selesai, gule siap disajikan, yumehh..",32,https://cookpad.com/id/resep/2363738-gulai-gule-kambing-tengkleng-ala-semarang,kambing,gulai /gule kambing ( tengkleng ) ala semarang,19,"daging kambing tengkleng hehe , santan kental sun kara +air , garam , gula , kaldu bubuk , merica bubuk , pala , > > bumbu halus , bawang merah , bawang putih , kemiri digoreng , jinten , kunyit & dikupas kulitnya , jahe dikupas , lengkuas dikupas , biji ketumbar , > > bumbu cemplung , kayu manis bubuk kayu manis , cengkeh , daun jeruk , daun salam , serai serai digeprek , cabe rawit merah utuh",10,gulai gule kambing tengkleng ala semarang,"500 gr daging kambing saya pakai tengkleng secukupnya hehe 200 ml santan kental saya pakai sun kara 75ml air secukupnya sesuai selera garam, gula, kaldu bubuk, merica bubuk, pala bubuk bumbu halus 5 siung bawang merah 4 siung bawang putih 6 butir kemiri sangrai kalau saya digoreng 1 sdt jinten 2 cm kunyit saya bakar dulu kemudian dicuci dikupas kulitnya 1 cm jahe dikupas 2 cm lengkuas dikupas 1 sdt ketumbar bubuk bumbu cemplung 1 batang kayu manis 1 2 sdt bubuk kayu manis 2 butir cengkeh 4 lembar daun jeruk purut 3 lembar daun salam 2 batang serai sereh digeprek secukupnya cabe rawit merah utuh",0.3842
Ayam bakar sederhana & Urap2 Sayur,"Ayam bakar sederhana--1/2 kg ayam, potong2, cuci bersih--Bumbu ayam bakar (haluskan / blender jadi 1)--10 siung bawang merah--5 siung bawang putih--3 buah tomat--5 biji cabe merah keriting--secukupnya garam, gula, kecap--Bahan sambal--30 biji cabau rawit, rebus--1 sdt terasi--Urap2 sayur--Selada air 1 ikat, siangi, rebus sampai matang--taoge, siangi, rebus sebentar--1/2 butir kelapa muda parut--Bumbu urap (haluskan/blender)--3 siung bawang putih--5 cabe rawit--1 cabe merah--1 ruas jari kencur--1/4 sdt terasi--garam, gula--","1) Masukkan ayam dengan bumbu ayam bakar yang sudah di haluskan ke wajan, tambahkan gula, garam & kecap
2) Masak dengan api sedang, sesekali diaduk2, sampai bumbu kering & ayam matang (kurang lebih 30-40mnt)
3) Angkat ayam, biarkan sisa bumbunya di wajan.
4) Sambal: tambahkan cabe rawit halus & terasi di sisa bumbu ayam, masak sebentar, matikan api.
5) Bakar ayam sebentar saja, asal ada bekas bakarannya.
6) Urap2 sayur : rebus sayuran (bisa sayur apa saja) tiriskan.
7) Campur kelapa muda & bumbu halus, kukus 15mnt.
8) Penyelesaian : Urap sayur yang sudah di tiriskan dengan bumbu kelapa. sajikan dengan ayam bakar & sambal. Pakai nasi merah lebih nikmat
9) Selamat mencoba",32,https://cookpad.com/id/resep/4398062-ayam-bakar-sederhana-urap2-sayur,ayam,ayam bakar sederhana & urap sayur,22,"ayam bakar sederhana , ayam , potong , bumbu ayam bakar haluskan blender , bawang merah , bawang putih , tomat , biji cabe merah keriting , garam , gula , kecap , sambal , biji cabau rawit , rebus , terasi , urap sayur , selada air , siangi , rebus matang , taoge , siangi , rebus sebentar , kelapa muda parut , bumbu urap haluskan blender , bawang putih , cabe rawit , cabe merah , kencur , terasi , garam , gula",9,ayam bakar sederhana urap2 sayur,"ayam bakar sederhana 1 2 kg ayam, potong2, cuci bersih bumbu ayam bakar haluskan blender jadi 1 10 siung bawang merah 5 siung bawang putih 3 buah tomat 5 biji cabe merah keriting secukupnya garam, gula, kecap bahan sambal 30 biji cabau rawit, rebus 1 sdt terasi urap2 sayur selada air 1 ikat, siangi, rebus sampai matang taoge, siangi, rebus sebentar 1 2 butir kelapa muda parut bumbu urap haluskan blender 3 siung bawang putih 5 cabe rawit 1 cabe merah 1 ruas jari kencur 1 4 sdt terasi garam, gula",0.2883
