nama_id,frekuensi,kategori,umur_kulkas,umur_suhu_ruang,umur_freezer,kalori_per_100g,protein_g,lemak_g,karbo_g,karbon_co2e
kunyit jahe,2,rempah,21,14,60,63.0,2.0,2.7,9.1,1.2
udang windu,2,protein_hewani,2,0,90,0.0,0.0,0.0,0.0,9.912
merica bubuk ladaku,2,rempah,365,365,0,359.0,11.5,6.8,64.4,
bon cabe level,2,bumbu,365,180,0,0.0,0.0,0.0,0.0,
cengek domba,2,olahan,5,1,0,0.0,0.0,0.0,0.0,
terasi abc,2,bumbu,30,14,0,155.0,22.3,2.9,9.9,
penyedap masako ayam,2,protein_hewani,3,0,120,302.0,18.2,25.0,0.0,3.576
tumbar,2,rempah,365,180,0,404.0,14.1,16.1,54.2,5.064
kerupuk udang,2,olahan,90,30,0,0.0,0.0,0.0,0.0,3.052
keping kemiri,2,rempah,30,14,60,636.0,19.0,63.0,8.0,7.954
asam kandis,2,bumbu,180,60,0,0.0,0.0,0.0,0.0,1.509
seledri daun bawang,2,bumbu,7,2,30,20.0,1.0,0.1,4.6,
paprika bubuk,2,sayuran,7,3,30,0.0,0.0,0.0,0.0,0.656
penyedap royco,2,bumbu,365,180,0,0.0,0.0,0.0,0.0,
ujungnya,2,olahan,5,1,0,0.0,0.0,0.0,0.0,
himalayan salt,2,bumbu,1825,1825,0,0.0,0.0,0.0,0.0,
makaroni,2,karbohidrat,365,365,0,363.0,8.7,0.4,78.7,2.338
rawit hijau,2,bumbu,5,2,30,0.0,0.0,0.0,0.0,0.656
garem,2,olahan,5,1,0,0.0,0.0,0.0,0.0,
bubuk cabe,2,bumbu,7,2,30,0.0,0.0,0.0,0.0,
cumi,2,protein_hewani,2,0,90,0.0,0.0,0.0,0.0,0.349
santan encer,2,olahan,3,0,30,0.0,0.0,0.0,0.0,6.639
kecap suka,2,bumbu,365,180,0,46.0,5.7,1.3,9.0,1.511
mentega margarin,2,olahan,30,5,90,720.0,0.6,81.0,0.4,
lengkuas geprak,2,rempah,14,7,60,0.0,0.0,0.0,0.0,
udang galah,2,protein_hewani,2,0,90,0.0,0.0,0.0,0.0,9.912
salmon,2,olahan,5,1,0,0.0,0.0,0.0,0.0,1.913
serre,2,rempah,14,5,60,0.0,0.0,0.0,0.0,
tahu bandung,2,protein_nabati,3,1,30,68.0,7.8,4.6,1.6,1.411
kacang,2,protein_nabati,90,30,0,102.9,3.3,2.7,16.3,
sarden,2,olahan,5,1,60,0.0,0.0,0.0,0.0,2.016
bunga pekak,2,rempah,365,180,0,0.0,0.0,0.0,0.0,
belimbing air,2,bumbu,1,1,0,36.0,0.4,0.4,8.8,
tepung terigu protein,2,protein_hewani,2,0,90,0.0,0.0,0.0,0.0,1.492
gula palem,2,bumbu,365,180,0,0.0,0.0,0.0,0.0,2.21
sate,2,olahan,5,1,0,0.0,0.0,0.0,0.0,
cabe rawit ijo,2,bumbu,7,2,30,0.0,0.0,0.0,0.0,
udang basah,2,protein_hewani,2,0,90,0.0,0.0,0.0,0.0,9.912
asam sunti,2,bumbu,180,60,0,0.0,0.0,0.0,0.0,1.509
tepung cakra,2,karbohidrat,365,180,0,0.0,0.0,0.0,0.0,
udang kulitnya,2,protein_hewani,2,0,90,0.0,0.0,0.0,0.0,9.912
rawit setan,2,bumbu,7,2,30,0.0,0.0,0.0,0.0,
kaldu jamur bubuk,2,bumbu,365,180,0,0.0,0.0,0.0,0.0,0.321
lele,2,protein_hewani,2,0,90,0.0,0.0,0.0,0.0,7.681
jeroan kambing,2,protein_hewani,3,0,120,0.0,0.0,0.0,0.0,38.779
tepung tapioka kanji,2,karbohidrat,365,365,0,0.0,0.0,0.0,0.0,1.769
ayam dada,2,protein_hewani,3,0,120,302.0,18.2,25.0,0.0,5.702
gurame,2,protein_hewani,2,0,90,0.0,0.0,0.0,0.0,7.681
mecin,2,bumbu,365,180,0,0.0,0.0,0.0,0.0,
bubuk bawang putih bawang putih,2,bumbu,30,14,0,0.0,0.0,0.0,0.0,1.165
tulang iga kambing,2,protein_hewani,3,0,120,0.0,0.0,0.0,0.0,38.779
saus cabe,2,bumbu,30,14,0,0.0,0.0,0.0,0.0,1.61
lada putih,2,rempah,365,365,0,0.0,0.0,0.0,0.0,4.52
lada garam,2,rempah,365,365,0,0.0,0.0,0.0,0.0,
blue band,2,olahan,30,7,60,0.0,0.0,0.0,0.0,2.524
udang kepalanya,2,protein_hewani,2,0,90,0.0,0.0,0.0,0.0,9.912
chili flakes,2,bumbu,365,180,0,0.0,0.0,0.0,0.0,0.656
cabai merah kriting,2,bumbu,7,2,30,367.0,15.9,6.2,61.8,
cabe setan,2,bumbu,7,2,30,0.0,0.0,0.0,0.0,
air mineral,2,bumbu,1,1,0,0.0,0.0,0.0,0.0,
tepung sajiku,2,karbohidrat,365,180,0,353.0,0.7,0.2,84.7,
petis,2,bumbu,30,14,0,0.0,0.0,0.0,0.0,1.61
penyedap royko,2,bumbu,365,180,0,0.0,0.0,0.0,0.0,
serai keprek,2,rempah,14,5,60,0.0,0.0,0.0,0.0,
kecap bangau,2,bumbu,365,180,0,46.0,5.7,1.3,9.0,1.511
mayonnaise,2,olahan,30,0,0,0.0,0.0,0.0,0.0,3.075
telur ayam negeri,2,protein_hewani,3,0,120,302.0,18.2,25.0,0.0,3.576
bakso sapi,2,olahan,5,1,60,0.0,0.0,0.0,0.0,3.739
merica bubuk kaldu bubuk,2,rempah,365,365,0,359.0,11.5,6.8,64.4,
saori saus tiram,2,bumbu,365,30,0,0.0,0.0,0.0,0.0,
jeruk,2,buah,14,7,0,0.0,0.0,0.0,0.0,0.529
tahu sutera,2,protein_nabati,3,1,30,68.0,7.8,4.6,1.6,1.411
air lemon,2,buah,14,3,0,0.0,0.0,0.0,0.0,0.616
masako sapi,2,bumbu,365,180,0,0.0,0.0,0.0,0.0,69.927
blimbing wuluh,2,buah,7,2,0,0.0,0.0,0.0,0.0,0.611
tepung kanji,2,karbohidrat,365,365,0,316.0,60.1,6.5,22.4,
sihung bawang putih,2,bumbu,30,14,0,0.0,0.0,0.0,0.0,1.165
sihung bawang merah,2,bumbu,30,14,0,0.0,0.0,0.0,0.0,0.715
masako ayam,2,bumbu,365,180,0,302.0,18.2,25.0,0.0,3.576
teri,2,protein_hewani,2,0,90,0.0,0.0,0.0,0.0,9.343
selada air,2,sayuran,5,1,0,17.0,1.7,0.3,3.0,0.437
kulit puff instant,1,olahan,5,1,0,0.0,0.0,0.0,0.0,
tuna oil merk,1,olahan,5,1,0,0.0,0.0,0.0,0.0,
boncabe chili flakes,1,bumbu,365,180,0,0.0,0.0,0.0,0.0,
tahu petak,1,protein_nabati,3,1,30,68.0,7.8,4.6,1.6,1.411
cabe merah kriting cabe rawit,1,bumbu,7,2,30,0.0,0.0,0.0,0.0,
kapulaga jawa,1,rempah,365,180,0,0.0,0.0,0.0,0.0,
lengkuas muda,1,rempah,14,7,60,0.0,0.0,0.0,0.0,
air nasi,1,karbohidrat,2,1,30,180.0,3.0,0.3,39.8,
margarin minyak samin,1,olahan,30,7,60,720.0,0.6,81.0,0.4,
garam merica masako gula,1,rempah,365,365,0,359.0,11.5,6.8,64.4,
sledry,1,olahan,5,1,0,0.0,0.0,0.0,0.0,
beras beras perak,1,karbohidrat,365,365,0,0.0,0.0,0.0,0.0,4.309
daging sapi pilih mudah empuk,1,protein_hewani,3,0,120,0.0,0.0,0.0,0.0,69.927
air air kaldu daging,1,protein_hewani,3,0,120,0.0,0.0,0.0,0.0,
kerupuk emping,1,olahan,90,30,0,0.0,0.0,0.0,0.0,
blok kaldu ayam,1,protein_hewani,3,0,120,302.0,18.2,25.0,0.0,3.576
salah ujungnya,1,olahan,5,1,0,0.0,0.0,0.0,0.0,
sosis potongan sosis total,1,olahan,7,1,60,0.0,0.0,0.0,0.0,2.08
daging sapi ganti kambing ayam resep asli,1,protein_hewani,3,0,120,0.0,0.0,0.0,0.0,69.927
kunyit mimi peres kunyit,1,rempah,14,7,60,63.0,2.0,2.7,9.1,5.064
margarine pake minyak samin,1,olahan,30,7,60,0.0,0.0,0.0,0.0,
air jenis berasnya,1,karbohidrat,365,365,0,0.0,0.0,0.0,0.0,4.309
rempah ganti kari kambing,1,protein_hewani,3,0,120,0.0,0.0,0.0,0.0,38.779
daun salam robek,1,rempah,7,3,30,0.0,0.0,0.0,0.0,
bihun soun seduh air,1,karbohidrat,365,365,0,360.0,4.7,0.1,82.1,
telur ceplok,1,protein_hewani,4,0,0,383.0,15.1,32.9,8.3,1.075
cabe utuh,1,bumbu,7,2,30,0.0,0.0,0.0,0.0,
santan instan dgn air,1,olahan,5,0,30,0.0,0.0,0.0,0.0,6.639
gula kaldu bubuk kaldu jamur,1,sayuran,5,1,30,0.0,0.0,0.0,0.0,0.321
daging sapi sop,1,protein_hewani,3,0,120,207.0,18.8,14.0,0.0,69.927
kacang pangjang,1,protein_nabati,90,30,0,44.0,2.7,0.3,7.8,0.857
ayam bawang,1,protein_hewani,3,0,120,302.0,18.2,25.0,0.0,3.576
peras,1,olahan,5,1,0,0.0,0.0,0.0,0.0,
mentega butter,1,olahan,30,5,90,725.0,0.5,81.6,1.4,
kaldu bubuk suka,1,bumbu,365,180,0,0.0,0.0,0.0,0.0,
tepung tapioka sagu,1,karbohidrat,365,365,0,0.0,0.0,0.0,0.0,1.769
ayam paha,1,protein_hewani,3,0,120,302.0,18.2,25.0,0.0,2.041
tepung ayam,1,protein_hewani,3,0,120,302.0,18.2,25.0,0.0,3.576
saos botolan,1,bumbu,30,7,0,0.0,0.0,0.0,0.0,
saos tomat botolan,1,sayuran,7,3,0,0.0,0.0,0.0,0.0,0.449
smua saos atas,1,bumbu,30,7,0,0.0,0.0,0.0,0.0,
paha kambing muda,1,protein_hewani,3,0,120,0.0,0.0,0.0,0.0,38.779
beras basmathi,1,karbohidrat,365,365,0,0.0,0.0,0.0,0.0,4.309
kunyit warna,1,rempah,14,7,60,63.0,2.0,2.7,9.1,5.064
telur putih,1,protein_hewani,4,0,0,0.0,0.0,0.0,0.0,1.075
air kaldu tulang,1,bumbu,1,1,0,0.0,0.0,0.0,0.0,
timun jepang,1,sayuran,7,2,0,0.0,0.0,0.0,0.0,0.426
kecap jepang kikkoman shoyu,1,bumbu,365,180,0,46.0,5.7,1.3,9.0,1.511
kaldu jamur daging sapi,1,protein_hewani,3,0,120,0.0,0.0,0.0,0.0,69.927
jus apel,1,buah,3,1,0,58.0,0.3,0.4,14.9,1.564
bawang putih bubuk bawang gerus,1,bumbu,7,2,30,0.0,0.0,0.0,0.0,1.165
daging kambing air sampe empux,1,protein_hewani,3,0,120,0.0,0.0,0.0,0.0,38.779
munjung tepung tapioka kanji,1,karbohidrat,365,365,0,0.0,0.0,0.0,0.0,1.769
daging sapi sirloin kualitas,1,protein_hewani,3,0,120,0.0,0.0,0.0,0.0,69.927
merica hitam pake ladaku,1,rempah,365,365,0,359.0,11.5,6.8,64.4,
kecap sedap gula garam,1,bumbu,365,180,0,46.0,5.7,1.3,9.0,1.511
gula garam kecap penyedap klo,1,bumbu,365,180,0,46.0,5.7,1.3,9.0,1.511
asem kandis,1,bumbu,180,60,0,0.0,0.0,0.0,0.0,1.509
jamur enoki,1,sayuran,5,1,30,0.0,0.0,0.0,0.0,0.321
parutan jahe,1,rempah,21,14,60,51.0,1.5,1.0,10.1,1.2
dashi kaldu ayam,1,protein_hewani,3,0,120,302.0,18.2,25.0,0.0,3.576
roti tawar,1,karbohidrat,5,2,60,0.0,0.0,0.0,0.0,1.454
margarine butter,1,olahan,30,5,90,0.0,0.0,0.0,0.0,
kikil sapi,1,protein_hewani,3,0,120,0.0,0.0,0.0,0.0,69.927
kelapa tdk ush,1,buah,7,3,30,0.0,0.0,0.0,0.0,
daun bawang bawang pre,1,bumbu,7,2,30,0.0,0.0,0.0,0.0,
makaroni elbow,1,karbohidrat,365,365,0,363.0,8.7,0.4,78.7,
kaldu bubuk merica,1,rempah,365,365,0,359.0,11.5,6.8,64.4,
tabur balado cabe bubuk,1,bumbu,365,180,0,0.0,0.0,0.0,0.0,
klapa,1,olahan,5,1,0,0.0,0.0,0.0,0.0,
cabe bubuk minyak,1,bumbu,365,180,0,0.0,0.0,0.0,0.0,
mangkuk kol,1,sayuran,14,2,30,0.0,0.0,0.0,0.0,0.324
garam cuka,1,bumbu,365,365,0,12.0,0.1,0.1,5.0,
telur ayam kulitnya,1,protein_hewani,3,0,120,302.0,18.2,25.0,0.0,3.576
garam kaldu,1,bumbu,1825,1825,0,0.0,0.0,0.0,0.0,
merica bubuk enak pake merica butiran,1,rempah,365,365,0,359.0,11.5,6.8,64.4,
sajian sambel jeruk nipis,1,buah,14,3,0,0.0,0.0,0.0,0.0,0.565
daging sapi bagus,1,protein_hewani,3,0,120,182.0,32.0,6.0,0.0,69.927
cabe hijau ganti paprika,1,sayuran,7,3,30,0.0,0.0,0.0,0.0,0.656
tepung maisena,1,karbohidrat,365,180,0,341.0,0.3,0.0,85.0,
daging sapi iga,1,protein_hewani,3,0,120,207.0,18.8,14.0,0.0,69.927
kolpotong,1,sayuran,14,2,30,0.0,0.0,0.0,0.0,
garam kaldu bubuk jamur,1,sayuran,5,1,30,0.0,0.0,0.0,0.0,0.321
puff pastry merk edo,1,karbohidrat,5,0,30,0.0,0.0,0.0,0.0,
tuna kemasan,1,olahan,5,1,60,0.0,0.0,0.0,0.0,2.891
jamur kancing kemasan,1,sayuran,5,1,30,0.0,0.0,0.0,0.0,0.321
keju cheddar kraft,1,olahan,30,1,90,326.0,22.8,20.3,13.1,
margarine palmia bawang putih,1,olahan,30,7,60,0.0,0.0,0.0,0.0,1.165
sejumput gula pasir,1,bumbu,1825,1825,0,0.0,0.0,0.0,0.0,
kuning telur olesan,1,protein_hewani,4,0,0,0.0,0.0,0.0,0.0,1.075
daging ayam paha,1,protein_hewani,3,0,120,302.0,18.2,25.0,0.0,3.576
saus banyaknya,1,bumbu,30,7,0,0.0,0.0,0.0,0.0,
kacang tanah mede,1,protein_nabati,180,60,0,513.0,17.5,32.5,44.3,3.33
fillet ikan tenggiri,1,protein_hewani,2,0,90,0.0,0.0,0.0,0.0,2.016
putel telur,1,protein_hewani,21,7,0,0.0,0.0,0.0,0.0,1.075
telur garam,1,protein_hewani,21,7,0,162.0,12.8,11.5,0.7,1.075
cuko,1,olahan,5,1,0,0.0,0.0,0.0,0.0,
asam jawa air,1,bumbu,180,90,0,0.0,0.0,0.0,0.0,
cabe pedasnya,1,bumbu,7,2,30,0.0,0.0,0.0,0.0,
lada utuh,1,rempah,365,365,0,0.0,0.0,0.0,0.0,
tahu telur sapo,1,protein_hewani,21,7,0,68.0,7.8,4.6,1.6,1.075
jamur kuping hitam basah,1,sayuran,5,1,30,0.0,0.0,0.0,0.0,0.321
sauce black pepper,1,bumbu,365,30,0,0.0,0.0,0.0,0.0,1.579
france fries,1,olahan,5,1,0,0.0,0.0,0.0,0.0,
krupuk,1,olahan,5,1,0,0.0,0.0,0.0,0.0,
bangkuang,1,sayuran,14,5,0,55.0,1.4,0.2,12.8,0.285
ayam filet,1,protein_hewani,3,0,120,302.0,18.2,25.0,0.0,5.702
garam masako ayam,1,protein_hewani,3,0,120,302.0,18.2,25.0,0.0,3.576
tahu coklat segitiga,1,protein_nabati,3,1,30,68.0,7.8,4.6,1.6,1.411
masako daging sapi,1,protein_hewani,3,0,120,49.0,5.8,0.5,5.3,69.927
lokio,1,sayuran,5,2,0,0.0,0.0,0.0,0.0,0.447
kaldu bubuk option,1,bumbu,365,180,0,0.0,0.0,0.0,0.0,
daging has,1,protein_hewani,3,0,120,0.0,0.0,0.0,0.0,69.927
santan kara air,1,olahan,5,0,30,0.0,0.0,0.0,0.0,6.639
acar timun bawang merah,1,sayuran,7,2,0,0.0,0.0,0.0,0.0,0.715
cooking cream,1,olahan,7,0,0,0.0,0.0,0.0,0.0,1.562
keju quick melt,1,olahan,30,1,90,326.0,22.8,20.3,13.1,6.062
pasta tomat sugar free,1,sayuran,7,3,0,0.0,0.0,0.0,0.0,0.449
italian herbs,1,rempah,365,180,0,0.0,0.0,0.0,0.0,2.144
tahu pong,1,protein_nabati,3,1,30,68.0,7.8,4.6,1.6,1.411
cabai rawit setan utuh,1,bumbu,7,2,30,0.0,0.0,0.0,0.0,
kaldu bubuk sapi non,1,bumbu,365,180,0,0.0,0.0,0.0,0.0,69.927
kunyit tua,1,rempah,14,7,60,63.0,2.0,2.7,9.1,5.064
tahu putih isi,1,protein_nabati,3,1,30,68.0,7.8,4.6,1.6,1.411
daun salam ukbesar klo,1,rempah,7,3,30,0.0,0.0,0.0,0.0,
mie sedap soto,1,karbohidrat,365,365,0,0.0,0.0,0.0,0.0,4.246
bunga lawang pekak,1,rempah,365,180,0,0.0,0.0,0.0,0.0,
kecap kalo warna pekat,1,bumbu,365,180,0,46.0,5.7,1.3,9.0,1.511
gula merah asam jawa,1,bumbu,180,90,0,0.0,0.0,0.0,0.0,
tpis,1,olahan,5,1,0,0.0,0.0,0.0,0.0,
lonjor tempe,1,protein_nabati,5,2,30,0.0,0.0,0.0,0.0,0.699
kembar daun salam,1,rempah,7,3,30,0.0,0.0,0.0,0.0,
belimbing wuluh krn tdk,1,buah,7,2,0,36.0,0.4,0.4,8.8,
daging kambing ayam sapi,1,protein_hewani,3,0,120,302.0,18.2,25.0,0.0,69.927
santan kara segitiga,1,olahan,5,0,30,0.0,0.0,0.0,0.0,6.639
garam gula kaldu jamur,1,sayuran,5,1,30,0.0,0.0,0.0,0.0,0.321
muncung gula pasir,1,bumbu,1825,1825,0,0.0,0.0,0.0,0.0,
ayam negri ganti ayam kampung,1,protein_hewani,3,0,120,0.0,0.0,0.0,0.0,3.576
bawang putih sesang,1,bumbu,30,14,0,0.0,0.0,0.0,0.0,1.165
merk delmonte,1,olahan,5,1,0,0.0,0.0,0.0,0.0,
margarin palmia bawang putih,1,olahan,30,7,60,720.0,0.6,81.0,0.4,1.165
jeroan klu suka,1,olahan,5,1,0,0.0,0.0,0.0,0.0,
kapulaga isisnya,1,rempah,365,180,0,0.0,0.0,0.0,0.0,
tepung pkek sajiku golden crispy kmasan,1,karbohidrat,365,180,0,0.0,0.0,0.0,0.0,
tepung trigu,1,karbohidrat,365,180,0,365.0,8.9,1.3,77.3,
mujung,1,olahan,5,1,0,0.0,0.0,0.0,0.0,
beras long grain bulir panjang merk,1,karbohidrat,365,365,0,0.0,0.0,0.0,0.0,4.309
bawang putih utuh,1,bumbu,30,14,0,95.0,4.5,0.2,23.1,1.165
cengkeh utuh,1,rempah,365,180,0,0.0,0.0,0.0,0.0,
black lemon powder tdk,1,buah,14,3,0,0.0,0.0,0.0,0.0,
saffron,1,rempah,730,365,0,0.0,0.0,0.0,0.0,5.064
minyak samin,1,olahan,30,7,60,0.0,0.0,0.0,0.0,2.808
raisins,1,buah,365,180,0,0.0,0.0,0.0,0.0,3.549
olive oil minyak,1,bumbu,365,180,0,0.0,0.0,0.0,0.0,
blackpepper,1,bumbu,365,30,0,0.0,0.0,0.0,0.0,4.52
cue tongkol,1,protein_hewani,2,0,90,0.0,0.0,0.0,0.0,
sct kaldu bubuk ayam,1,protein_hewani,3,0,120,302.0,18.2,25.0,0.0,3.576
tepung roti warna orange,1,karbohidrat,90,30,0,0.0,0.0,0.0,0.0,
ikan,1,protein_hewani,2,0,90,0.0,0.0,0.0,0.0,2.016
pecak,1,olahan,5,1,0,0.0,0.0,0.0,0.0,
temu kunci,1,rempah,14,7,60,0.0,0.0,0.0,0.0,1.2
cabe merah nanjung,1,bumbu,7,2,30,0.0,0.0,0.0,0.0,
beking powder,1,bumbu,365,365,0,0.0,0.0,0.0,0.0,
kikil,1,protein_hewani,3,0,120,0.0,0.0,0.0,0.0,69.927
mie soun,1,karbohidrat,365,365,0,0.0,0.0,0.0,0.0,4.246
pangsit krupuk,1,olahan,5,1,0,0.0,0.0,0.0,0.0,
pasta lasagna,1,karbohidrat,365,365,0,0.0,0.0,0.0,0.0,2.338
daging sapi bole,1,protein_hewani,3,0,120,0.0,0.0,0.0,0.0,69.927
saos bolognese,1,bumbu,30,7,0,0.0,0.0,0.0,0.0,
garam merica pala,1,rempah,365,365,0,359.0,11.5,6.8,64.4,
saos bechamel,1,bumbu,30,7,0,0.0,0.0,0.0,0.0,
macarone,1,karbohidrat,365,365,0,0.0,0.0,0.0,0.0,2.338
paprika warna bebas,1,sayuran,7,3,30,0.0,0.0,0.0,0.0,0.656
saus tiram oyster sauce,1,bumbu,365,30,0,0.0,0.0,0.0,0.0,
lada hitam butiran utuh,1,rempah,365,365,0,0.0,0.0,0.0,0.0,
minyak olive oil,1,bumbu,365,180,0,0.0,0.0,0.0,0.0,
tepung instant,1,karbohidrat,365,180,0,0.0,0.0,0.0,0.0,
jeruk kunci,1,buah,14,3,0,0.0,0.0,0.0,0.0,0.611
cabai merah keriting pedasnya,1,bumbu,7,2,30,0.0,0.0,0.0,0.0,
saus blackpepper,1,bumbu,365,30,0,0.0,0.0,0.0,0.0,1.579
ikan mujair,1,protein_hewani,2,0,90,0.0,0.0,0.0,0.0,7.681
keju mozarella,1,olahan,30,1,90,326.0,22.8,20.3,13.1,5.96
saus bolognese,1,bumbu,30,7,0,0.0,0.0,0.0,0.0,
blok tahu putih,1,protein_nabati,3,1,30,68.0,7.8,4.6,1.6,1.411
baking powder double action,1,bumbu,365,365,0,0.0,0.0,0.0,0.0,
lidah sapi,1,protein_hewani,3,0,120,0.0,0.0,0.0,0.0,69.927
saus inggris,1,bumbu,30,7,0,0.0,0.0,0.0,0.0,
tepung aci tepung tapioka,1,karbohidrat,365,365,0,0.0,0.0,0.0,0.0,1.769
royco ayam kaldu,1,protein_hewani,3,0,120,302.0,18.2,25.0,0.0,3.576
cabai bubuk merk aida,1,bumbu,365,180,0,0.0,0.0,0.0,0.0,
balado bubuk merk ultra aroma,1,olahan,5,1,0,0.0,0.0,0.0,0.0,
daging sapi pake has,1,protein_hewani,3,0,120,0.0,0.0,0.0,0.0,69.927
paket ikan pindang tongkol suir,1,protein_hewani,2,0,90,0.0,0.0,0.0,0.0,
susu murni hewani,1,protein_hewani,7,0,30,0.0,0.0,0.0,0.0,0.537
starter yogurt merk yummy plain kefir,1,olahan,14,0,0,0.0,0.0,0.0,0.0,
gula pasir sekedar netralisir asam yogurt,1,olahan,14,0,0,0.0,0.0,0.0,0.0,
kecap shoyu kikkoman,1,bumbu,365,180,0,46.0,5.7,1.3,9.0,1.511
air kaldu sapi bekas daging sapi,1,protein_hewani,3,0,120,0.0,0.0,0.0,0.0,69.927
ati ayam,1,protein_hewani,3,0,120,302.0,18.2,25.0,0.0,3.576
tempe rupiah,1,protein_nabati,5,2,30,0.0,0.0,0.0,0.0,0.699
dada ayam utuh,1,protein_hewani,3,0,120,302.0,18.2,25.0,0.0,3.576
smoked beef,1,olahan,5,1,60,0.0,0.0,0.0,0.0,6.365
keju mozarella filling,1,olahan,30,1,90,326.0,22.8,20.3,13.1,
mayones saus keju,1,olahan,30,1,90,326.0,22.8,20.3,13.1,
unsalted butter margarin,1,olahan,30,5,90,720.0,0.6,81.0,0.4,3.299
kaldu ayam air putih,1,protein_hewani,3,0,120,302.0,18.2,25.0,0.0,3.576
saus tiram kecap,1,bumbu,365,180,0,46.0,5.7,1.3,9.0,1.511
udang kepala kulitnya,1,protein_hewani,2,0,90,0.0,0.0,0.0,0.0,9.912
cabai rawit merah opsi,1,bumbu,7,2,30,0.0,0.0,0.0,0.0,
blok terasi,1,bumbu,30,14,0,155.0,22.3,2.9,9.9,
garam kaldu bubuk suka,1,bumbu,1825,1825,0,0.0,0.0,0.0,0.0,
cabe rawit biar bungsu ngak kepedesan,1,bumbu,7,2,30,0.0,0.0,0.0,0.0,
cabe ijo keriting,1,bumbu,7,2,30,0.0,0.0,0.0,0.0,
saos saori,1,bumbu,365,30,0,0.0,0.0,0.0,0.0,
saos lada hitam saori,1,bumbu,365,30,0,0.0,0.0,0.0,0.0,
semangkuk toge,1,protein_nabati,3,1,0,0.0,0.0,0.0,0.0,
kulit pie,1,karbohidrat,5,0,30,0.0,0.0,0.0,0.0,
keju cheddar quick melt,1,olahan,30,1,90,326.0,22.8,20.3,13.1,
sayur kol,1,sayuran,14,2,30,0.0,0.0,0.0,0.0,
bubuk lada,1,rempah,365,365,0,0.0,0.0,0.0,0.0,
roti kebab,1,karbohidrat,5,2,60,0.0,0.0,0.0,0.0,1.454
kefir yogurt plain,1,olahan,14,0,0,0.0,0.0,0.0,0.0,0.731
vco,1,bumbu,365,90,0,0.0,0.0,0.0,0.0,2.808
saus tomat saus tomat pomi,1,sayuran,7,3,0,0.0,0.0,0.0,0.0,0.449
daun selada,1,sayuran,5,1,0,15.0,1.2,0.2,2.9,0.437
saus kebab,1,bumbu,30,7,0,0.0,0.0,0.0,0.0,
mayonaise,1,olahan,30,0,0,0.0,0.0,0.0,0.0,3.075
saus asam,1,bumbu,30,7,0,0.0,0.0,0.0,0.0,
bentuk korek api,1,olahan,5,1,0,0.0,0.0,0.0,0.0,
pasta tomat tomat,1,sayuran,7,3,0,0.0,0.0,0.0,0.0,0.449
merica gula pasir,1,rempah,365,365,0,359.0,11.5,6.8,64.4,
daging ayam ayam,1,protein_hewani,3,0,120,302.0,18.2,25.0,0.0,3.576
asam kandis ganti air jeruk nipis,1,bumbu,180,60,0,0.0,0.0,0.0,0.0,0.565
ketimun,1,sayuran,7,2,0,12.0,0.7,0.1,2.7,0.426
garam gula merah,1,bumbu,1825,1825,0,0.0,0.0,0.0,0.0,
kecap kecap abc,1,bumbu,365,180,0,46.0,5.7,1.3,9.0,1.511
putren,1,olahan,5,1,0,0.0,0.0,0.0,0.0,
daun pisang aluminium foil,1,olahan,3,1,14,0.0,0.0,0.0,0.0,0.842
tempe gembus,1,protein_nabati,3,2,0,73.0,5.7,1.3,4.2,0.699
ayam garing,1,protein_hewani,3,0,120,302.0,18.2,25.0,0.0,3.576
tahu pong tahu sumedang,1,protein_nabati,3,1,30,68.0,7.8,4.6,1.6,1.411
jeruk jeruk limau,1,buah,14,3,0,0.0,0.0,0.0,0.0,
daging sapi kualitas bagus,1,protein_hewani,3,0,120,0.0,0.0,0.0,0.0,69.927
paprika hijau,1,sayuran,7,3,30,0.0,0.0,0.0,0.0,0.656
kentang tua,1,sayuran,14,7,90,83.0,2.0,0.1,19.1,0.442
fillèt dada ayam,1,protein_hewani,3,0,120,302.0,18.2,25.0,0.0,5.702
susu bubuk full cream,1,olahan,14,14,0,0.0,0.0,0.0,0.0,0.537
kaldu ayam bubuk blok,1,protein_hewani,3,0,120,302.0,18.2,25.0,0.0,3.576
tepung panir bread crumbs,1,karbohidrat,90,30,0,0.0,0.0,0.0,0.0,
hati lemak,1,olahan,5,1,0,0.0,0.0,0.0,0.0,
saos kacang,1,protein_nabati,90,30,0,0.0,0.0,0.0,0.0,
air kekentalan,1,bumbu,1,1,0,0.0,0.0,0.0,0.0,
jeruk limau nipis,1,buah,14,3,0,0.0,0.0,0.0,0.0,
cabe rawit irisan,1,bumbu,7,2,30,0.0,0.0,0.0,0.0,
soun kol,1,sayuran,14,2,30,0.0,0.0,0.0,0.0,
bngks tempe,1,protein_nabati,5,2,30,0.0,0.0,0.0,0.0,0.699
resep garamasala,1,rempah,365,180,0,0.0,0.0,0.0,0.0,
bawang putih hipertensi,1,bumbu,30,14,0,0.0,0.0,0.0,0.0,1.165
bawang merah resep asli,1,bumbu,30,14,0,0.0,0.0,0.0,0.0,0.715
garamasala,1,rempah,365,180,0,0.0,0.0,0.0,0.0,5.064
keping mie,1,karbohidrat,365,365,0,337.0,7.9,11.8,50.0,4.246
sarden gaga,1,olahan,5,1,60,0.0,0.0,0.0,0.0,
asem,1,olahan,5,1,0,0.0,0.0,0.0,0.0,
